,centrality
Gandalf,0.08105549667831413
Pippin,0.016193108990871893
Frodo,0.22768421130236452
Denethor,0.014633813368258594
Boromir,0.0029915510731450008
Théoden,0.07707061540134463
Aragorn,0.1354822133232058
Treebeard,0.0003548085901027077
Isildur,0.0066030309559721315
Faramir,0.014288773440353501
Merry,0.11723564965892656
Legolas,0.04141218474430619
Gimli,0.022671303859653495
Halbarad,0.03378678644428171
Saruman,0.001129811056797279
Elladan,0.010425944847197218
Elrohir,0.001837676554944107
Galadriel,0.029382022784299824
Éomer,0.03411322829856996
Elrond,0.00422711923862819
Sauron,0.023604601250532136
Éowyn,0.009956678503168066
Sam,0.22853029043620166
Wormtongue,0.006291389276728923
Hirgon,0.0
Gollum,0.0004444444444444444
Éomund,0.0
Arwen,0.001296386655020431
Imrahil,0.044334132098837985
Forlong,0.008548205607029133
Grimbold,0.03617669041198452
Herefara,0.0
Elendil,0.0
Angbor,0.0
Shelob,0.002544182304984566
Shagrat,0.0025701836290071577
Gorbag,0.001916588857765328
Snaga,0.0
Bilbo,0.00955981708922885
Rosie,0.0
Sméagol,0.0
Meneldor,0.0
Landroval,0.0
Celeborn,0.000196078431372549
Shadowfax,7.843137254901961e-05
Aldor,0.0
Robin,0.0
Will,0.0
Tom,0.0
Ted,0.0
Fredegar,0.0
Widow,0.0
