,centrality
Gandalf,0.4117647058823529
Pippin,0.21568627450980393
Frodo,0.5490196078431373
Denethor,0.2549019607843137
Boromir,0.19607843137254902
Théoden,0.3137254901960784
Aragorn,0.49019607843137253
Treebeard,0.09803921568627451
Isildur,0.13725490196078433
Faramir,0.27450980392156865
Merry,0.47058823529411764
Legolas,0.27450980392156865
Gimli,0.27450980392156865
Halbarad,0.23529411764705882
Saruman,0.11764705882352941
Elladan,0.11764705882352941
Elrohir,0.11764705882352941
Galadriel,0.19607843137254902
Éomer,0.29411764705882354
Elrond,0.1568627450980392
Sauron,0.29411764705882354
Éowyn,0.21568627450980393
Sam,0.47058823529411764
Wormtongue,0.1568627450980392
Hirgon,0.0784313725490196
Gollum,0.09803921568627451
Éomund,0.0392156862745098
Arwen,0.058823529411764705
Imrahil,0.1568627450980392
Forlong,0.058823529411764705
Grimbold,0.0784313725490196
Herefara,0.0392156862745098
Elendil,0.0392156862745098
Angbor,0.0392156862745098
Shelob,0.11764705882352941
Shagrat,0.09803921568627451
Gorbag,0.0784313725490196
Snaga,0.058823529411764705
Bilbo,0.1568627450980392
Rosie,0.058823529411764705
Sméagol,0.0196078431372549
Meneldor,0.0392156862745098
Landroval,0.0196078431372549
Celeborn,0.0392156862745098
Shadowfax,0.0392156862745098
Aldor,0.0392156862745098
Robin,0.0196078431372549
Will,0.058823529411764705
Tom,0.0196078431372549
Ted,0.0196078431372549
Fredegar,0.0392156862745098
Widow,0.0196078431372549
