,centrality
Gandalf,0.6219512195121951
Pippin,0.53125
Frodo,0.6710526315789473
Denethor,0.53125
Boromir,0.51
Théoden,0.5543478260869565
Aragorn,0.6538461538461539
Treebeard,0.4358974358974359
Isildur,0.4434782608695652
Faramir,0.5604395604395604
Merry,0.6375
Legolas,0.5666666666666667
Gimli,0.5666666666666667
Halbarad,0.5
Saruman,0.4857142857142857
Elladan,0.4322033898305085
Elrohir,0.45535714285714285
Galadriel,0.5151515151515151
Éomer,0.51
Elrond,0.51
Sauron,0.5730337078651685
Éowyn,0.4857142857142857
Sam,0.6144578313253012
Wormtongue,0.51
Hirgon,0.4214876033057851
Gollum,0.4594594594594595
Éomund,0.3984375
Arwen,0.4214876033057851
Imrahil,0.4811320754716981
Forlong,0.34
Grimbold,0.3953488372093023
Herefara,0.2897727272727273
Elendil,0.4112903225806452
Angbor,0.408
Shelob,0.4766355140186916
Shagrat,0.4358974358974359
Gorbag,0.4322033898305085
Snaga,0.3893129770992366
Bilbo,0.504950495049505
Rosie,0.4594594594594595
Sméagol,0.38345864661654133
Meneldor,0.42857142857142855
Landroval,0.38345864661654133
Celeborn,0.35664335664335667
Shadowfax,0.40476190476190477
Aldor,0.3722627737226277
Robin,0.38345864661654133
Will,0.4594594594594595
Tom,0.40476190476190477
Ted,0.38345864661654133
Fredegar,0.4112903225806452
Widow,0.40476190476190477
