,centrality
Sam,0.1787258249573439
Boromir,0.029105083347142017
Aragorn,0.15760381331201762
Denethor,0.004558278037044543
Gandalf,0.09116408951046755
Legolas,0.03378557091802258
Gimli,0.06484252433688126
Frodo,0.09644048571020672
Sauron,0.06379391884827612
Saruman,0.0007676469411163289
Pippin,0.02324088806030266
Éomund,0.0015222958059961282
Éomer,0.03203454092332671
Éothain,0.0
Théoden,0.01634377466233235
Celeborn,0.0
Elrond,0.024010467282150956
Merry,0.0669552128868092
Grishnákh,0.0391156462585034
Snaga,0.0
Shadowfax,0.0018940209751402645
Gollum,0.05061092632015737
Bilbo,0.00012147716229348882
Treebeard,0.05804516059539118
Tom Bombadil,0.00028344671201814054
Galadriel,0.021992351233422667
Fladrif,0.0
Finglas,0.0
Bregalad,0.0005749919015225138
Quickbeam,0.0022048104956268223
Glóin,0.0001481653267367553
Wormtongue,0.0008723835854688195
Háma,0.005215321051392322
Elendil,0.0
Éowyn,0.0004499716553287981
Erkenbrand,0.0015027737285390347
Gamling,0.0007995066903498698
Sméagol,0.0034095384185420198
Gaffer,0.0
Isildur,0.0005775226757369614
Hamfast,0.00045751206465492175
Faramir,0.006591962371642665
Damrod,0.0
Anborn,0.00017006802721088437
Shelob,0.0
Beren,0.0
Ungoliant,0.0
Shagrat,0.0391156462585034
Gorbag,0.0
Ufthak,0.0
