,centrality
Sam,0.42857142857142855
Boromir,0.2857142857142857
Aragorn,0.5102040816326531
Denethor,0.14285714285714285
Gandalf,0.4897959183673469
Legolas,0.3469387755102041
Gimli,0.4081632653061224
Frodo,0.44897959183673464
Sauron,0.36734693877551017
Saruman,0.22448979591836732
Pippin,0.26530612244897955
Éomund,0.12244897959183673
Éomer,0.3469387755102041
Éothain,0.04081632653061224
Théoden,0.32653061224489793
Celeborn,0.061224489795918366
Elrond,0.16326530612244897
Merry,0.3877551020408163
Grishnákh,0.1020408163265306
Snaga,0.02040816326530612
Shadowfax,0.16326530612244897
Gollum,0.3061224489795918
Bilbo,0.08163265306122448
Treebeard,0.3469387755102041
Tom Bombadil,0.04081632653061224
Galadriel,0.12244897959183673
Fladrif,0.02040816326530612
Finglas,0.02040816326530612
Bregalad,0.04081632653061224
Quickbeam,0.061224489795918366
Glóin,0.1020408163265306
Wormtongue,0.18367346938775508
Háma,0.2040816326530612
Elendil,0.04081632653061224
Éowyn,0.1020408163265306
Erkenbrand,0.12244897959183673
Gamling,0.08163265306122448
Sméagol,0.14285714285714285
Gaffer,0.061224489795918366
Isildur,0.1020408163265306
Hamfast,0.04081632653061224
Faramir,0.16326530612244897
Damrod,0.061224489795918366
Anborn,0.08163265306122448
Shelob,0.1020408163265306
Beren,0.04081632653061224
Ungoliant,0.04081632653061224
Shagrat,0.061224489795918366
Gorbag,0.04081632653061224
Ufthak,0.02040816326530612
