,centrality
Sam,0.6092112520683949
Boromir,0.5431522006392919
Aragorn,0.6440233236151602
Denethor,0.4696003401360544
Gandalf,0.6261337868480725
Legolas,0.5706535778868509
Gimli,0.5931793770139635
Frodo,0.6092112520683949
Sauron,0.5706535778868509
Saruman,0.4847487382049594
Pippin,0.5242050308495491
Éomund,0.4213236696547778
Éomer,0.5181796856673704
Éothain,0.3788372491853884
Théoden,0.512291280148423
Celeborn,0.40614083471226325
Elrond,0.49540255662704646
Merry,0.5931793770139635
Grishnákh,0.42529842125529455
Snaga,0.29658968850698175
Shadowfax,0.46475909951609506
Gollum,0.5366861030126336
Bilbo,0.4334772370486656
Treebeard,0.5706535778868509
Tom Bombadil,0.34678178963893247
Galadriel,0.46475909951609506
Fladrif,0.02040816326530612
Finglas,0.02040816326530612
Bregalad,0.3665173386427742
Quickbeam,0.38204773434797645
Glóin,0.42529842125529455
Wormtongue,0.4600166597251145
Háma,0.4553700267985982
Elendil,0.3989525013545241
Éowyn,0.42529842125529455
Erkenbrand,0.40983302411873834
Gamling,0.41359296011982777
Sméagol,0.4508163265306122
Gaffer,0.4025145772594752
Isildur,0.40614083471226325
Hamfast,0.3989525013545241
Faramir,0.46475909951609506
Damrod,0.4025145772594752
Anborn,0.3920141969831411
Shelob,0.4213236696547778
Beren,0.3989525013545241
Ungoliant,0.38204773434797645
Shagrat,0.3853130995988139
Gorbag,0.38204773434797645
Ufthak,0.27657443345436333
